tienda,calle,num_ext,int_num,colonia,zipcode,ciudad,estado,country,referencias_adicionales
Calzada,Calzada Independencia Norte,878,,Independencia,44340,Guadalajara,Jalisco,México,Entre Monte Caucaso y Salvador Quevedo y Subieta
Guadalupe,Av Copernico,3280,F08,Residencial Plaza Guadalupe,45030,Zapopan,Jalisco,México,Entre Av Guadalupe y Calle Mision San Antonio
Lapizlázuli,Av Obsidiana,3176-2,,Residencial Victoria,45000,Zapopan,Jalisco,México,Entre Lapislazuli y Aguamarina
Lopez Mateos,Av Lopez Mateos Sur,5466-8,,Fracc. Arboledas,45070,Zapopan,Jalisco,México,Entre Av. Copernico y Galileo Galilei
Patria,Av de la Patria,124,,Jardines Vallarta,45027,Zapopan,Jalisco,México,Entre Av. Inglaterra y Gabrielle Dannunzio
Puerto Vallarta,Francisco Villa,419,,Olimpica,48330,Puerto Vallarta,Jalisco,México,Entre Av Libramiento y Sierra Pirineos
Río Nilo,Av Rio Nilo,2974-C,,Jardines de la Paz,44860,Guadalajara,Jalisco,México,Entre Antonio Diaz de Solis y Francisco Lopez de Gomara
Roble,Roble,1297-A,,Del Fresno,44900,Guadalajara,Jalisco,México,Entre Sabino y Cipres
Santa Tere,Ramos Millan,558,,Santa Teresita,44600,Guadalajara,Jalisco,México,Entre Hospital y Juan Alvarez
Clouthier,Av Manuel J Clouthier,1380 L 11,,Villa Puerta del Sol,45050,Zapopan,Jalisco,México,Entre Avenida Moctezuma y Av Tepeyac
Valle Real,Av Santa Margarita,4676 L C1,,Jardin Real,45136,Zapopan,Jalisco,México,Entre Blvd Jardin Real Poniente y Av Manantial
San Juan Bosco,Industria,1658,,Blanco y Cuellar,44730,Guadalajara,Jalisco,México,Entre Sebastian Allende e Ignacio Machain
Tonalá,Emiliano Zapata,76-2,,Centro,45400,Tonala,Jalisco,México,Entre Morelos e Hidalgo
Aguascalientes,Av. Universidad,701,local 2,Fátima,20130,Aguascalientes,Aguascalientes,México,Al lado de la Farmacia Guadalajara
Cruz del sur,Crus del sur ,2634,2,jardines de la cruz,44950,Guadalajara,Jalisco,México,
Cuautitlán,Av Miguel Hidalgo,28,Local 1,Granjas Lomas de Guadalupe,54767,Cuautitlan Izcalli,Estado de México,México,
Culiacán,Doctor Mora ,1300,7,Las quintas,80060,Culiacán,Sinaloa,México,
Ensenada,Av. Juarez,1750,,Centro,22800,Ensenada,Baja California,México,
Galerías,Rafael Sanzio,230,,La Estancia Residencial,45030,Zapopan,Jalisco,México,
Hermosillo,Blvd. Navarrete,262,Local 1,Villa Satelite,83200,Hermosillo ,Sonora,México,
Morelia,Iretiticateme,897,1,Felix Ireta,58070,Morelia ,Michoacan,México,
Olímpica,Calzada Olimpica,1293,,Atlas,44870,Guadalajara,Jalisco,México,
Gallegos,Fray Sebastian de Gallegos,89,1,El Pueblito,76900,Corregidora,Querétaro,México,
Tecnológico,Av. Tecnologico Sur,4,C,Niños Heroes,76000,Querétaro,Querétaro,México,
Tlalnepantla,Blvd Adolfo Lopez Mateos,49,,Francisco Villa,54059,Tlalnepantla,Estado de México,México,
Ávila Camacho,Av. Manuel Avila Camacho,3017,3,Jacarandas,45160,Zapopan,Jalisco,México,
Avenida México,Av. México,2455,6,Ladron de Guevara,44600,Guadalajara,Jalisco,México,
Bugambilias,Callejon del Iris,444,Local 4,Bugambilias Country,45238,Zapopan,Jalisco,México,
Circunvalación,Av. Circunvalacion,1081,,Country Club,44610,Guadalajara,Jalisco,México,
México,Av. San Antonio ,223,Local 2,San Pedro de los Pinos,3800,Del. Benito Juarez,Ciudad de México,México,
Durango,Cienega,83,A,Cienega,34090,Durango,Durango,México,
León,Pradera,801,Local 6,Azteca,37520,León,Guanajuato,México,
Los Mochis,Benito Juarez Poniente,252,,Centro,81200,Los Mochis,Sinaloa,México,
Mazatlán,Juan Carrazco,1012,,Shimizu,82036,Mazatlán,Sinaloa,México,
Monterrey,Sendero Sur ,214,Local 2,Country  ,64860,Monterrey,Nuevo León,México,
Colima,Av. San Fernando,513,Local 4,Centro,28010,Colima,Colima,México,
Tepatitlán,Pedro Medina,65,,Centro,47600,Tepatitlán,Jalisco,México,
Tepic,Av. Ignacio Allende,173,A,Centro,63000,Tepic,Nayarit,México,
Tuxtla,1ra Sur Esquina 11 poniente,1173,Servi plaza Local 4,Centro,29000,Tuxtla Gutierrez,Chiapas,México,
Zacatecas,Elias Amador,101,Local A,Centro,98000,Zacatecas,Zacatecas,México,
Toluca,Heriberto Enriquez ,904,Local 34,Azteca,50180,Toluca,Estado de México,México,
Tlaxcala,Boulevard Antonio Diaz Varela,127,Local 9A,Centro,90800,Santa Ana Chihuatempan,Tlaxcala ,Mexico,
Guadalupe NL,Plutarco Elías Calles,260,,Fracc. San Diego,67154,Guadalupe,Nuevo Leon,Mexico,Entre Calle San Diego y Privada Central
